"Subbasin","<20","20-40","40-60","60-80",">80"
6,91,30,16,4,11
8,70,35,21,11,15
14,9,21,20,39,63
15,37,36,23,19,37
18,4,10,5,7,126
22,2,15,10,14,111
24,29,35,64,24,0
31,6,9,13,16,108
32,9,13,11,17,102
38,49,25,24,18,36
39,4,10,10,10,118
62,44,32,30,19,27
106,38,29,32,26,27
113,31,38,30,20,33
117,35,38,23,28,28
160,40,33,33,18,28
161,50,47,27,8,20
170,43,36,27,24,22
171,50,40,18,15,29
174,38,42,31,22,19
175,28,40,30,25,29
177,41,35,32,15,29
178,42,40,25,19,26
180,43,53,25,14,17
190,47,26,33,15,31
196,33,36,25,28,30
244,41,45,27,16,23
260,37,26,31,25,33
304,27,44,28,22,31
314,42,34,26,17,33
483,36,34,45,19,18
484,41,30,31,23,27
510,48,35,33,16,20
555,38,37,28,23,26
609,33,38,27,28,26
647,38,35,31,15,33
707,44,43,37,19,9
712,32,27,30,20,43
742,37,46,30,20,19
854,48,37,29,19,19
856,61,15,14,7,55
996,28,37,27,29,31
1140,62,44,25,5,16
1143,47,9,20,13,63
1288,46,23,12,12,59
1441,61,12,13,11,55
1621,42,36,24,23,27
1641,56,23,12,5,56
1642,58,14,15,7,58
1643,38,19,6,15,74
1728,44,12,12,8,76
1730,47,39,30,23,13
1773,45,44,26,21,16
1792,29,37,26,27,33
1808,18,22,12,6,94
1830,119,21,7,4,1
1854,87,28,18,12,7
1855,37,28,30,16,41
1864,105,25,14,8,0
1867,74,12,13,10,43
1868,53,48,19,16,16
1925,54,44,21,8,25
1926,14,17,15,6,100
1927,12,8,13,16,103
1932,77,31,14,18,12
1938,43,39,25,17,28
1948,34,34,29,30,25
1949,58,42,18,13,21
1951,23,11,18,10,90
1957,47,16,14,6,69
1958,40,44,34,15,19
1960,13,17,10,15,97
1963,11,17,15,6,103
1964,71,31,24,14,12
1968,37,26,27,27,35
1971,45,35,42,20,10
1974,40,32,29,18,33
1978,38,40,35,14,25
1981,53,38,21,8,32
1983,51,46,12,13,30
1995,40,36,23,23,30
1997,43,30,31,16,32
2000,48,42,23,19,20
2002,53,39,16,18,26
2007,42,37,29,19,25
2010,66,28,25,15,18
2011,46,46,30,14,16
2012,66,31,17,24,14
2015,50,49,32,11,10
2017,33,34,38,23,24
2018,32,35,35,25,25
2026,33,39,31,16,33
2028,51,45,24,21,11
2031,38,33,40,26,15
2032,43,52,25,14,18
2038,38,29,30,21,34
2040,49,42,16,16,29
2041,90,26,17,9,10
2044,31,25,29,24,43
2050,36,35,39,17,25
2053,33,8,14,11,86
2054,39,34,26,28,25
2056,33,22,28,19,50
2057,28,17,22,20,65
2068,27,35,30,23,37
2070,22,16,20,14,80
2074,37,36,28,26,25
2076,30,31,34,28,29
2078,56,43,29,15,9
2079,33,35,40,17,27
2080,21,25,27,26,53
2082,27,40,25,18,42
2091,44,31,25,19,33
2092,10,14,17,18,93
2093,39,39,21,26,27
2094,40,35,34,15,28
2095,41,40,34,24,13
2100,33,35,33,22,29
2101,34,34,28,27,29
2103,32,26,23,24,47
2104,21,16,17,15,83
2105,42,32,32,22,24
2106,17,21,20,22,72
2108,22,25,20,18,67
2109,34,35,28,20,35
2111,36,37,36,26,17
2115,14,13,12,18,95
2116,28,22,33,13,56
2119,39,46,33,21,13
2120,33,24,25,26,44
2122,19,19,18,5,91
2124,18,19,25,27,63
2125,23,30,16,16,67
2126,23,19,21,27,62
2127,37,28,29,29,29
2128,38,36,26,23,29
2130,52,44,39,12,5
2131,42,31,28,15,36
2132,28,22,24,18,60
2133,37,42,31,20,22
2134,15,20,16,12,89
2135,45,48,35,14,10
2136,32,23,34,25,38
2138,10,27,19,21,75
2140,50,34,30,25,13
2142,28,18,29,25,52
2144,13,17,29,15,78
2146,39,32,27,36,18
2149,18,24,23,19,68
2150,24,25,23,17,63
2151,49,42,33,12,16
2152,41,42,28,17,24
2154,29,31,34,27,31
2155,23,23,27,28,51
2156,37,40,27,34,14
2159,35,35,35,24,23
2162,35,41,23,17,36
2164,33,29,28,23,39
2167,23,29,28,18,54
2168,42,30,34,19,27
2176,47,36,31,24,14
2177,28,39,16,24,45
2178,32,36,30,15,39
2179,35,26,28,27,36
2181,25,46,23,23,35
2182,59,44,14,20,15
2183,30,34,24,18,46
2186,29,36,32,25,30
2189,33,29,16,28,46
2194,29,24,34,22,43
2195,36,40,32,18,26
2198,35,44,30,15,28
2205,51,41,34,15,11
2206,31,32,34,31,24
2207,79,45,20,5,3
2208,30,32,27,19,44
2209,12,26,29,25,60
2210,21,23,21,18,69
2211,21,16,24,13,78
2212,31,31,28,16,46
2213,32,32,30,33,25
2214,20,31,22,24,55
2216,50,42,28,19,13
2217,50,40,29,19,14
2219,45,45,29,15,18
2220,149,2,0,1,0
2221,28,31,35,35,23
2225,42,38,24,23,25
2227,18,23,21,28,62
2229,21,22,26,24,59
2235,38,50,46,16,2
2236,39,32,30,21,30
2238,111,39,1,1,0
2239,28,25,34,24,41
2240,37,47,32,15,21
2248,40,22,20,20,50
2249,39,33,36,17,27
2250,25,31,20,20,56
2252,41,41,36,15,19
2253,52,36,28,14,22
2254,33,34,23,22,40
2255,21,25,25,27,54
2257,42,43,35,20,12
2258,74,47,23,7,1
2259,35,28,27,22,40
2260,30,26,38,26,32
2262,32,33,27,19,41
2263,44,30,24,14,40
2266,44,41,27,17,23
2267,65,45,24,10,8
2269,57,35,27,17,16
2270,27,34,22,24,45
2276,35,39,35,27,16
2277,35,48,25,17,27
2278,48,34,22,23,25
2279,51,35,29,24,13
2280,24,18,25,28,57
2285,46,31,25,32,18
2289,20,19,34,34,45
2290,41,35,31,24,21
2296,34,39,27,19,33
2297,31,33,27,21,40
2298,44,40,25,15,28
2300,26,39,43,26,18
2301,39,35,32,21,25
2302,30,28,37,28,29
2303,31,30,35,20,36
2304,148,3,0,1,0
2305,36,46,34,17,19
2306,33,36,24,21,38
2308,40,42,37,22,11
2309,23,26,27,38,38
2311,66,44,19,15,8
2312,26,25,33,34,34
2315,43,32,24,23,30
2316,16,18,28,26,64
2320,22,35,25,18,52
2322,38,39,32,20,23
2325,53,50,24,10,15
2326,46,31,20,23,32
2328,58,42,23,16,13
2329,43,41,36,18,14
2330,29,22,18,25,58
2331,15,22,22,32,61
2332,54,44,16,13,25
2333,31,24,24,16,57
2334,55,42,32,14,9
2335,36,35,31,23,27
2336,34,34,24,16,44
2337,33,35,35,26,23
2339,39,37,36,20,20
2341,127,21,3,1,0
2342,41,49,36,23,3
2343,25,42,16,19,50
2345,14,31,20,22,65
2346,38,31,24,29,30
2347,62,53,31,2,4
2350,39,25,36,22,30
2351,150,2,0,0,0
2352,15,23,16,16,82
2356,40,43,30,8,31
2359,81,50,7,11,3
2361,25,27,23,15,62
2363,47,33,29,13,30
2364,52,44,35,14,7
2365,16,34,26,25,51
2369,30,32,21,27,42
2370,13,15,20,15,89
2371,36,24,33,17,42
2372,26,31,24,24,47
2373,81,53,14,4,0
2374,84,41,19,7,1
2375,28,38,35,21,30
2380,149,3,0,0,0
2382,18,37,29,29,39
2383,20,25,26,21,60
2385,151,1,0,0,0
2387,13,11,35,24,69
2388,19,33,31,28,41
2390,44,24,38,20,26
2391,67,44,27,8,6
2393,29,39,20,30,34
2394,42,44,27,22,17
2395,34,35,38,21,24
2397,150,2,0,0,0
2402,32,41,17,23,39
2406,21,28,30,23,50
2407,45,52,30,12,13
2408,21,21,25,24,61
2410,134,17,1,0,0
2411,41,28,31,15,37
2414,40,49,24,14,25
2415,26,37,35,24,30
2416,20,36,16,8,72
2418,67,47,23,10,5
2419,39,35,24,25,29
2420,44,42,28,17,21
2421,30,7,10,12,93
2423,152,0,0,0,0
2424,29,48,42,18,15
2425,144,8,0,0,0
2426,48,27,28,18,31
2427,84,43,17,5,3
2428,37,38,29,21,27
2431,34,29,32,21,36
2433,147,5,0,0,0
2434,74,42,17,8,11
2435,96,43,9,4,0
2437,149,3,0,0,0
2438,21,21,17,14,79
2439,32,26,23,16,55
2441,152,0,0,0,0
2442,22,32,25,18,55
2443,128,23,1,0,0
2446,28,28,38,24,34
2447,34,39,25,20,34
2450,38,31,34,26,23
2451,37,56,39,19,1
2452,50,45,30,21,6
2456,151,1,0,0,0
2458,46,45,22,23,16
2461,28,34,40,29,21
2463,21,22,32,18,59
2464,152,0,0,0,0
2466,23,36,44,18,31
2467,49,42,35,15,11
2470,36,40,27,25,24
2472,55,48,28,12,9
2473,45,44,25,15,23
2474,27,42,31,25,27
2475,58,35,34,13,12
2476,152,0,0,0,0
2477,30,27,26,18,51
2478,38,41,22,21,30
2480,54,57,28,11,2
2481,37,32,31,29,23
2482,26,34,40,32,20
2485,75,33,25,12,7
2487,29,26,27,27,43
2488,20,29,24,23,56
2490,29,28,34,30,31
2491,27,65,37,18,5
2492,152,0,0,0,0
2493,133,18,1,0,0
2495,16,21,34,49,32
2496,51,56,30,13,2
2497,55,51,29,10,7
2498,32,26,21,23,50
2501,51,40,20,10,31
2502,19,38,38,39,18
2504,49,46,25,19,13
2507,51,53,29,8,11
2508,39,32,28,18,35
2510,64,43,26,12,7
2511,58,51,22,10,11
2513,34,44,49,22,3
2514,87,44,14,5,2
2518,32,56,36,21,7
2522,49,39,43,12,9
2523,62,37,27,17,9
2525,20,27,25,20,60
2526,36,39,30,17,30
2527,38,31,26,23,34
2528,41,27,27,23,34
2529,134,18,0,0,0
2532,36,43,31,17,25
2533,106,29,14,2,1
2534,32,27,17,26,50
2535,95,44,4,8,1
2537,35,32,36,25,24
2539,41,48,37,23,3
2540,23,36,28,8,57
2543,32,34,30,22,34
2544,63,49,24,7,9
2546,26,22,37,36,31
2547,45,43,38,7,19
2548,152,0,0,0,0
2549,34,37,26,18,37
2550,59,42,28,10,13
2552,99,37,11,3,2
2555,46,54,32,16,4
2556,12,13,17,12,98
2558,40,42,34,14,22
2562,31,27,23,23,48
2566,30,28,29,25,40
2570,34,38,31,19,30
2571,72,48,28,2,2
2572,17,33,21,21,60
2575,37,34,28,19,34
2576,26,20,33,24,49
2577,151,1,0,0,0
2582,60,43,29,10,10
2584,12,10,9,16,105
2585,96,40,11,5,0
2587,28,14,24,17,69
2588,29,23,30,26,44
2590,146,6,0,0,0
2591,29,29,30,25,39
2592,23,32,18,24,55
2593,152,0,0,0,0
2599,29,23,23,24,53
2600,65,48,21,13,5
2602,67,54,18,9,4
2604,152,0,0,0,0
2605,32,23,22,31,44
2607,24,27,26,17,58
2609,33,31,17,30,41
2611,23,22,25,25,57
2613,39,25,27,23,38
2614,40,38,37,22,15
2617,145,7,0,0,0
2618,78,44,18,6,6
2620,64,41,30,8,9
2621,103,47,2,0,0
2623,76,40,19,10,7
2624,114,29,8,1,0
2625,25,30,26,26,45
2627,90,41,17,3,1
2628,51,61,40,0,0
2630,30,37,25,21,39
2631,53,48,33,15,3
2633,12,9,15,17,99
2634,35,33,31,34,19
2635,19,30,37,34,32
2638,22,23,36,31,40
2639,26,32,25,28,41
2641,147,4,1,0,0
2647,76,45,18,5,8
2648,12,11,16,18,95
2650,40,22,33,19,38
2651,44,42,36,16,14
2653,43,38,24,21,26
2655,13,19,15,11,94
2658,25,29,31,24,43
2662,46,35,30,23,18
2663,33,33,22,25,39
2664,129,21,2,0,0
2666,59,42,31,9,11
2667,38,44,25,24,21
2668,15,11,9,19,98
2671,100,44,7,1,0
2672,33,31,33,22,33
2679,26,27,20,26,53
2680,31,49,40,19,13
2681,26,30,30,21,45
2682,10,14,32,32,64
2683,38,45,40,16,13
2686,39,41,21,19,32
2687,49,64,39,0,0
2688,39,43,36,19,15
2689,41,52,44,15,0
2690,44,48,45,15,0
2691,110,41,1,0,0
2694,90,46,13,3,0
2695,34,53,29,15,21
2699,22,24,25,25,56
2700,92,59,1,0,0
2701,21,30,27,22,52
2705,16,11,13,17,95
2706,32,33,30,22,35
2707,44,28,29,17,34
2709,91,45,9,6,1
2710,36,32,28,27,29
2711,61,48,25,10,8
2712,33,27,31,24,37
2715,54,88,10,0,0
2716,51,47,33,9,12
2717,54,57,23,5,13
2719,148,4,0,0,0
2720,55,46,23,9,19
2723,48,58,24,13,9
2725,24,29,13,35,51
2728,39,24,33,20,36
2729,35,36,29,25,27
2731,55,48,25,15,9
2734,45,31,21,14,41
2736,35,29,30,17,41
2741,49,44,29,8,22
2742,34,29,29,22,38
2743,98,41,11,2,0
2744,14,18,17,15,88
2747,34,41,27,22,28
2748,26,44,45,25,12
2749,17,27,28,31,49
2750,66,48,28,7,3
2752,49,33,25,17,28
2755,21,28,26,32,45
2757,123,29,0,0,0
2758,34,28,23,27,40
2759,79,55,15,1,2
2760,44,44,40,14,10
2761,21,39,37,26,29
2764,95,46,8,3,0
2766,23,29,22,27,51
2770,122,28,2,0,0
2772,15,13,9,18,97
2773,55,49,19,14,15
2776,63,58,21,6,4
2777,61,39,25,10,17
2779,105,36,6,3,2
2781,91,61,0,0,0
2782,23,25,24,22,58
2784,61,46,29,9,7
2787,60,44,32,10,6
2791,27,25,24,22,54
2792,29,28,24,23,48
2794,40,43,29,21,19
2795,21,22,15,12,82
2799,42,50,35,17,8
2801,40,38,28,13,33
2803,65,46,24,11,6
2805,36,43,27,28,18
2806,38,37,28,24,25
2809,41,39,29,14,29
2812,37,37,32,27,19
2814,35,43,18,27,29
2815,48,42,24,18,20
2816,54,36,34,17,11
2817,25,24,36,21,46
2818,46,31,33,22,20
2819,49,38,28,18,19
2821,118,28,5,1,0
2822,88,46,17,1,0
2824,37,36,27,17,35
2825,69,48,25,3,7
2827,96,33,19,3,1
2828,90,44,16,2,0
2829,15,10,12,22,93
2830,70,38,27,12,5
2834,49,38,26,19,20
2835,70,75,7,0,0
2837,38,34,20,25,35
2840,37,38,20,18,39
2842,46,38,30,14,24
2843,33,35,18,29,37
2844,36,34,30,17,35
2845,44,36,27,14,31
2846,42,38,32,25,15
2847,61,41,25,15,10
2848,67,41,28,10,6
2849,147,3,2,0,0
2850,147,5,0,0,0
2852,14,24,36,35,43
2853,81,43,16,7,5
2854,25,38,29,19,41
2856,47,36,24,15,30
2857,30,46,41,24,11
2858,102,38,9,3,0
2860,14,18,7,19,94
2861,38,39,19,29,27
2862,51,50,23,18,10
2864,67,49,19,9,8
2865,33,28,28,26,37
2866,28,33,24,21,46
2867,66,37,22,18,9
2868,32,32,19,18,51
2869,97,43,10,2,0
2875,36,29,28,20,39
2877,40,48,22,20,22
2878,27,19,34,22,50
2879,38,29,31,15,39
2880,14,21,8,8,101
2881,122,25,3,2,0
2883,40,34,27,28,23
2884,19,19,18,17,79
2885,92,44,8,5,3
2886,57,42,23,16,14
2888,47,49,25,23,8
2891,56,48,29,13,6
2892,60,43,26,13,10
2893,45,29,33,31,14
2894,40,37,38,14,23
2895,40,28,34,15,35
2896,60,51,22,12,7
2898,30,26,31,23,42
2899,70,57,15,8,2
2900,44,35,17,23,33
2901,30,29,29,22,42
2902,133,15,3,1,0
2903,108,31,6,5,2
2904,36,22,24,27,43
2906,71,51,25,4,1
2908,40,35,25,21,31
2909,140,12,0,0,0
2910,48,46,16,19,23
2911,40,35,20,24,33
2912,32,36,30,22,32
2913,31,30,33,21,37
2914,37,42,26,20,27
2916,35,29,22,19,47
2918,49,39,24,22,18
2921,57,60,22,8,5
2923,43,22,29,31,27
2924,54,49,27,9,13
2925,41,50,33,18,10
2926,27,29,31,23,42
2927,16,13,20,19,84
2928,14,41,24,25,48
2929,40,34,23,21,34
2930,33,27,24,25,43
2931,83,50,16,1,2
2933,57,43,27,17,8
2934,24,25,37,42,24
2937,142,10,0,0,0
2938,41,42,34,18,17
2939,49,36,27,16,24
2940,22,15,31,34,50
2941,96,47,6,2,1
2943,59,37,30,11,15
2944,44,31,26,13,38
2946,96,41,11,2,2
2948,35,36,21,25,35
2949,48,44,32,17,11
2950,79,49,20,2,2
2951,46,45,35,16,10
2952,59,50,28,10,5
2953,54,40,32,15,11
2954,91,46,10,1,4
2956,90,61,1,0,0
2958,103,39,6,2,2
2960,37,30,26,20,39
2961,58,23,34,23,14
2962,60,44,25,12,11
2963,46,34,24,18,30
2965,52,41,27,20,12
2968,41,41,31,25,14
2969,17,40,32,28,35
2970,30,24,23,14,61
2971,34,44,29,19,26
2972,98,37,14,2,1
2973,22,23,28,23,56
2975,26,27,30,24,45
2976,103,40,7,2,0
2978,27,25,25,26,49
2979,39,35,28,22,28
2980,30,26,23,23,50
2981,30,28,30,23,41
2982,44,35,21,16,36
2985,40,25,28,21,38
2986,41,54,38,11,8
2987,31,37,28,21,35
2988,29,29,25,24,45
2989,46,25,31,16,34
2990,28,32,35,18,39
2994,47,40,25,20,20
2996,58,59,23,3,9
2997,37,29,19,32,35
2998,59,59,23,8,3
3001,112,27,10,3,0
3003,47,43,28,22,12
3004,35,39,28,22,28
3006,73,47,19,6,7
3007,85,49,12,4,2
3009,30,41,24,25,32
3010,55,32,26,16,23
3013,56,42,28,16,10
3014,152,0,0,0,0
3015,26,28,30,23,45
3016,84,40,14,5,9
3019,25,38,28,18,43
3020,61,47,27,12,5
3021,104,46,2,0,0
3022,48,40,37,14,13
3023,143,7,1,1,0
3026,151,1,0,0,0
3028,56,42,29,12,13
3029,32,36,24,23,37
3030,33,31,26,24,38
3031,124,22,6,0,0
3032,50,40,33,13,16
3034,29,32,30,18,43
3035,32,29,38,16,37
3036,32,37,27,25,31
3037,34,27,19,17,55
3038,15,21,17,7,92
3039,10,21,14,12,95
3040,15,19,10,15,93
3041,43,44,33,23,9
3042,31,34,32,13,42
3043,36,32,35,21,28
3044,60,58,22,8,4
3045,51,38,37,13,13
3046,59,59,23,4,7
3047,46,56,27,17,6
3048,48,42,32,25,5
3049,55,51,36,8,2
3052,37,32,33,19,31
3053,47,46,26,23,10
3054,40,33,26,19,34
3056,31,47,20,25,29
3057,48,51,36,11,6
3058,28,38,23,14,49
3059,28,39,33,25,27
3060,152,0,0,0,0
3061,29,30,31,23,39
3062,75,45,22,5,5
3065,48,41,31,22,10
3066,13,15,15,16,93
3067,109,35,6,1,1
3068,85,52,7,5,3
3070,34,27,33,19,39
3071,71,63,13,5,0
3073,137,15,0,0,0
3074,50,39,30,22,11
3075,55,46,24,16,11
3076,152,0,0,0,0
3081,80,41,18,9,4
3082,52,44,30,10,16
3083,28,37,23,20,44
3084,136,12,4,0,0
3085,135,16,1,0,0
3086,32,21,26,16,57
3087,11,18,18,13,92
3088,43,44,36,19,10
3089,63,41,21,17,10
3091,36,28,23,17,48
3092,41,29,27,18,37
3094,47,37,28,16,24
3096,78,71,2,1,0
3097,47,74,24,6,1
3098,40,26,21,21,44
3099,34,22,37,25,34
3101,30,33,32,17,40
3102,35,40,38,22,17
3103,14,10,18,15,95
3105,121,28,3,0,0
3106,48,47,28,16,13
3107,129,21,2,0,0
3109,51,52,26,15,8
3110,18,20,30,25,59
3111,38,27,30,15,42
3112,8,11,11,16,106
3113,141,9,2,0,0
3114,109,35,5,2,1
3115,54,50,33,9,6
3116,58,45,22,19,8
3117,65,54,30,1,2
3118,141,9,1,1,0
3119,46,40,30,26,10
3120,54,38,30,20,10
3121,54,32,33,18,15
3125,58,36,33,16,9
3129,34,33,33,24,28
3130,50,44,30,18,10
3131,142,8,2,0,0
3132,27,27,25,15,58
3135,12,19,11,10,100
3136,40,54,26,16,16
3137,32,40,15,26,39
3139,48,50,35,13,6
3140,47,42,26,17,20
3141,31,29,33,23,36
3142,42,51,28,17,14
3144,51,48,30,9,14
3145,32,39,29,24,28
3146,45,34,31,16,26
3147,126,19,1,5,1
3148,60,48,37,4,3
3149,56,32,27,23,14
3150,28,26,20,25,53
3151,35,38,29,19,31
3152,92,43,12,3,2
3154,93,43,13,3,0
3155,38,34,44,23,13
3156,68,46,19,7,12
3157,61,51,31,4,5
3158,12,12,8,21,99
3159,36,24,24,30,38
3160,36,36,29,22,29
3161,19,11,15,9,98
3162,16,13,13,12,98
3163,16,9,13,19,95
3164,13,6,22,19,92
3165,7,11,12,27,95
3166,5,11,14,21,101
3167,21,17,15,23,76
3168,19,7,16,16,94
3171,104,39,4,4,1
3172,10,24,15,22,81
3173,48,51,31,18,4
3174,55,50,35,8,4
3176,88,34,23,3,4
3177,16,11,13,16,96
3178,18,17,18,20,79
3182,13,16,14,15,94
3183,19,24,21,18,70
3184,33,26,26,13,54
3185,11,21,13,20,87
0,18,22,24,13,75
3218,25,29,32,18,48
